País de residencia;Tipo de dato;Gastos y duración media de los viajes;Periodo;Total
Reino Unido;Dato base;Gasto medio por persona;2025M07;1.400
Reino Unido;Dato base;Gasto medio por persona;2025M06;1.221
Reino Unido;Dato base;Gasto medio por persona;2025M05;1.146
Reino Unido;Dato base;Gasto medio por persona;2025M04;1.094
Reino Unido;Dato base;Gasto medio por persona;2025M03;1.157
Reino Unido;Dato base;Gasto medio por persona;2025M02;1.205
Reino Unido;Dato base;Gasto medio por persona;2025M01;1.271
Reino Unido;Dato base;Gasto medio por persona;2024M12;1.219
Reino Unido;Dato base;Gasto medio por persona;2024M11;1.156
Reino Unido;Dato base;Gasto medio por persona;2024M10;1.188
Reino Unido;Dato base;Gasto medio por persona;2024M09;1.200
Reino Unido;Dato base;Gasto medio por persona;2024M08;1.428
Reino Unido;Dato base;Gasto medio por persona;2024M07;1.384
Reino Unido;Dato base;Gasto medio por persona;2024M06;1.163
Reino Unido;Dato base;Gasto medio por persona;2024M05;1.147
Reino Unido;Dato base;Gasto medio por persona;2024M04;1.089
Reino Unido;Dato base;Gasto medio por persona;2024M03;1.134
Reino Unido;Dato base;Gasto medio por persona;2024M02;1.235
Reino Unido;Dato base;Gasto medio por persona;2024M01;1.284
Reino Unido;Dato base;Gasto medio por persona;2023M12;1.196
Reino Unido;Dato base;Gasto medio por persona;2023M11;1.125
Reino Unido;Dato base;Gasto medio por persona;2023M10;1.127
Reino Unido;Dato base;Gasto medio por persona;2023M09;1.156
Reino Unido;Dato base;Gasto medio por persona;2023M08;1.332
Reino Unido;Dato base;Gasto medio por persona;2023M07;1.293
Reino Unido;Dato base;Gasto medio por persona;2023M06;1.109
Reino Unido;Dato base;Gasto medio por persona;2023M05;1.045
Reino Unido;Dato base;Gasto medio por persona;2023M04;997
Reino Unido;Dato base;Gasto medio por persona;2023M03;1.094
Reino Unido;Dato base;Gasto medio por persona;2023M02;1.090
Reino Unido;Dato base;Gasto medio por persona;2023M01;1.140
Reino Unido;Dato base;Gasto medio por persona;2022M12;1.104
Reino Unido;Dato base;Gasto medio por persona;2022M11;1.091
Reino Unido;Dato base;Gasto medio por persona;2022M10;1.073
Reino Unido;Dato base;Gasto medio por persona;2022M09;1.085
Reino Unido;Dato base;Gasto medio por persona;2022M08;1.259
Reino Unido;Dato base;Gasto medio por persona;2022M07;1.260
Reino Unido;Dato base;Gasto medio por persona;2022M06;1.078
Reino Unido;Dato base;Gasto medio por persona;2022M05;1.055
Reino Unido;Dato base;Gasto medio por persona;2022M04;1.040
Reino Unido;Dato base;Gasto medio por persona;2022M03;1.227
Reino Unido;Dato base;Gasto medio por persona;2022M02;1.162
Reino Unido;Dato base;Gasto medio por persona;2022M01;1.224
Reino Unido;Dato base;Gasto medio por persona;2021M12;1.151
Reino Unido;Dato base;Gasto medio por persona;2021M11;1.066
Reino Unido;Dato base;Gasto medio por persona;2021M10;1.044
Reino Unido;Dato base;Gasto medio por persona;2021M09;1.052
Reino Unido;Dato base;Gasto medio por persona;2021M08;1.202
Reino Unido;Dato base;Gasto medio por persona;2021M07;1.196
Reino Unido;Dato base;Gasto medio por persona;2021M06;1.063
Reino Unido;Dato base;Gasto medio por persona;2021M05;1.147
Reino Unido;Dato base;Gasto medio por persona;2021M04;1.098
Reino Unido;Dato base;Gasto medio por persona;2021M03;1.396
Reino Unido;Dato base;Gasto medio por persona;2021M02;1.161
Reino Unido;Dato base;Gasto medio por persona;2021M01;1.165
Reino Unido;Dato base;Gasto medio por persona;2020M12;1.145
Reino Unido;Dato base;Gasto medio por persona;2020M11;1.118
Reino Unido;Dato base;Gasto medio por persona;2020M10;1.050
Reino Unido;Dato base;Gasto medio por persona;2020M09;928
Reino Unido;Dato base;Gasto medio por persona;2020M08;1.093
Reino Unido;Dato base;Gasto medio por persona;2020M07;991
Reino Unido;Dato base;Gasto medio por persona;2020M06;469
Reino Unido;Dato base;Gasto medio por persona;2020M05;0
Reino Unido;Dato base;Gasto medio por persona;2020M04;0
Reino Unido;Dato base;Gasto medio por persona;2020M03;937
Reino Unido;Dato base;Gasto medio por persona;2020M02;945
Reino Unido;Dato base;Gasto medio por persona;2020M01;1.015
Reino Unido;Dato base;Gasto medio por persona;2019M12;983
Reino Unido;Dato base;Gasto medio por persona;2019M11;936
Reino Unido;Dato base;Gasto medio por persona;2019M10;961
Reino Unido;Dato base;Gasto medio por persona;2019M09;965
Reino Unido;Dato base;Gasto medio por persona;2019M08;1.155
Reino Unido;Dato base;Gasto medio por persona;2019M07;1.136
Reino Unido;Dato base;Gasto medio por persona;2019M06;944
Reino Unido;Dato base;Gasto medio por persona;2019M05;921
Reino Unido;Dato base;Gasto medio por persona;2019M04;877
Reino Unido;Dato base;Gasto medio por persona;2019M03;932
Reino Unido;Dato base;Gasto medio por persona;2019M02;920
Reino Unido;Dato base;Gasto medio por persona;2019M01;997
Reino Unido;Dato base;Gasto medio por persona;2018M12;973
Reino Unido;Dato base;Gasto medio por persona;2018M11;959
Reino Unido;Dato base;Gasto medio por persona;2018M10;933
Reino Unido;Dato base;Gasto medio por persona;2018M09;960
Reino Unido;Dato base;Gasto medio por persona;2018M08;1.120
Reino Unido;Dato base;Gasto medio por persona;2018M07;1.078
Reino Unido;Dato base;Gasto medio por persona;2018M06;935
Reino Unido;Dato base;Gasto medio por persona;2018M05;908
Reino Unido;Dato base;Gasto medio por persona;2018M04;847
Reino Unido;Dato base;Gasto medio por persona;2018M03;918
Reino Unido;Dato base;Gasto medio por persona;2018M02;915
Reino Unido;Dato base;Gasto medio por persona;2018M01;941
Reino Unido;Dato base;Gasto medio por persona;2017M12;1.007
Reino Unido;Dato base;Gasto medio por persona;2017M11;913
Reino Unido;Dato base;Gasto medio por persona;2017M10;908
Reino Unido;Dato base;Gasto medio por persona;2017M09;904
Reino Unido;Dato base;Gasto medio por persona;2017M08;1.039
Reino Unido;Dato base;Gasto medio por persona;2017M07;1.009
Reino Unido;Dato base;Gasto medio por persona;2017M06;884
Reino Unido;Dato base;Gasto medio por persona;2017M05;882
Reino Unido;Dato base;Gasto medio por persona;2017M04;820
Reino Unido;Dato base;Gasto medio por persona;2017M03;931
Reino Unido;Dato base;Gasto medio por persona;2017M02;873
Reino Unido;Dato base;Gasto medio por persona;2017M01;960
Reino Unido;Dato base;Gasto medio por persona;2016M12;1.039
Reino Unido;Dato base;Gasto medio por persona;2016M11;900
Reino Unido;Dato base;Gasto medio por persona;2016M10;888
Reino Unido;Dato base;Gasto medio por persona;2016M09;916
Reino Unido;Dato base;Gasto medio por persona;2016M08;1.011
Reino Unido;Dato base;Gasto medio por persona;2016M07;1.014
Reino Unido;Dato base;Gasto medio por persona;2016M06;846
Reino Unido;Dato base;Gasto medio por persona;2016M05;833
Reino Unido;Dato base;Gasto medio por persona;2016M04;810
Reino Unido;Dato base;Gasto medio por persona;2016M03;873
Reino Unido;Dato base;Gasto medio por persona;2016M02;857
Reino Unido;Dato base;Gasto medio por persona;2016M01;880
Reino Unido;Dato base;Gasto medio por persona;2015M12;965
Reino Unido;Dato base;Gasto medio por persona;2015M11;855
Reino Unido;Dato base;Gasto medio por persona;2015M10;855
Reino Unido;Dato base;Gasto medio diario por persona;2026M07;222
Reino Unido;Dato base;Gasto medio diario por persona;2026M06;188
Reino Unido;Dato base;Gasto medio diario por persona;2026M05;196
Reino Unido;Dato base;Gasto medio diario por persona;2026M04;180
Reino Unido;Dato base;Gasto medio diario por persona;2026M03;198
Reino Unido;Dato base;Gasto medio diario por persona;2026M02;174
Reino Unido;Dato base;Gasto medio diario por persona;2026M01;166
Reino Unido;Dato base;Gasto medio diario por persona;2025M12;176
Reino Unido;Dato base;Gasto medio diario por persona;2025M11;180
Reino Unido;Dato base;Gasto medio diario por persona;2025M10;178
Reino Unido;Dato base;Gasto medio diario por persona;2025M09;187
Reino Unido;Dato base;Gasto medio diario por persona;2025M08;185
Reino Unido;Dato base;Gasto medio diario por persona;2025M07;211
Reino Unido;Dato base;Gasto medio diario por persona;2025M06;189
Reino Unido;Dato base;Gasto medio diario por persona;2025M05;185
Reino Unido;Dato base;Gasto medio diario por persona;2025M04;169
Reino Unido;Dato base;Gasto medio diario por persona;2025M03;178
Reino Unido;Dato base;Gasto medio diario por persona;2025M02;173
Reino Unido;Dato base;Gasto medio diario por persona;2025M01;162
Reino Unido;Dato base;Gasto medio diario por persona;2024M12;166
Reino Unido;Dato base;Gasto medio diario por persona;2024M11;169
Reino Unido;Dato base;Gasto medio diario por persona;2024M10;173
Reino Unido;Dato base;Gasto medio diario por persona;2024M09;181
Reino Unido;Dato base;Gasto medio diario por persona;2024M08;190
Reino Unido;Dato base;Gasto medio diario por persona;2024M07;198
Reino Unido;Dato base;Gasto medio diario por persona;2024M06;169
Reino Unido;Dato base;Gasto medio diario por persona;2024M05;184
Reino Unido;Dato base;Gasto medio diario por persona;2024M04;177
Reino Unido;Dato base;Gasto medio diario por persona;2024M03;168
Reino Unido;Dato base;Gasto medio diario por persona;2024M02;155
Reino Unido;Dato base;Gasto medio diario por persona;2024M01;152
Reino Unido;Dato base;Gasto medio diario por persona;2023M12;151
Reino Unido;Dato base;Gasto medio diario por persona;2023M11;166
Reino Unido;Dato base;Gasto medio diario por persona;2023M10;170
Reino Unido;Dato base;Gasto medio diario por persona;2023M09;170
Reino Unido;Dato base;Gasto medio diario por persona;2023M08;180
Reino Unido;Dato base;Gasto medio diario por persona;2023M07;194
Reino Unido;Dato base;Gasto medio diario por persona;2023M06;168
Reino Unido;Dato base;Gasto medio diario por persona;2023M05;173
Reino Unido;Dato base;Gasto medio diario por persona;2023M04;159
Reino Unido;Dato base;Gasto medio diario por persona;2023M03;156
Reino Unido;Dato base;Gasto medio diario por persona;2023M02;153
Reino Unido;Dato base;Gasto medio diario por persona;2023M01;138
Reino Unido;Dato base;Gasto medio diario por persona;2022M12;137
Reino Unido;Dato base;Gasto medio diario por persona;2022M11;151
Reino Unido;Dato base;Gasto medio diario por persona;2022M10;156
Reino Unido;Dato base;Gasto medio diario por persona;2022M09;158
Reino Unido;Dato base;Gasto medio diario por persona;2022M08;161
Reino Unido;Dato base;Gasto medio diario por persona;2022M07;174
Reino Unido;Dato base;Gasto medio diario por persona;2022M06;158
Reino Unido;Dato base;Gasto medio diario por persona;2022M05;160
Reino Unido;Dato base;Gasto medio diario por persona;2022M04;145
Reino Unido;Dato base;Gasto medio diario por persona;2022M03;144
Reino Unido;Dato base;Gasto medio diario por persona;2022M02;134
Reino Unido;Dato base;Gasto medio diario por persona;2022M01;110
Reino Unido;Dato base;Gasto medio diario por persona;2021M12;119
Reino Unido;Dato base;Gasto medio diario por persona;2021M11;128
Reino Unido;Dato base;Gasto medio diario por persona;2021M10;128
Reino Unido;Dato base;Gasto medio diario por persona;2021M09;128
Reino Unido;Dato base;Gasto medio diario por persona;2021M08;132
Reino Unido;Dato base;Gasto medio diario por persona;2021M07;145
Reino Unido;Dato base;Gasto medio diario por persona;2021M06;111
Reino Unido;Dato base;Gasto medio diario por persona;2021M05;95
Reino Unido;Dato base;Gasto medio diario por persona;2021M04;86
Reino Unido;Dato base;Gasto medio diario por persona;2021M03;83
Reino Unido;Dato base;Gasto medio diario por persona;2021M02;72
Reino Unido;Dato base;Gasto medio diario por persona;2021M01;77
Reino Unido;Dato base;Gasto medio diario por persona;2020M12;102
Reino Unido;Dato base;Gasto medio diario por persona;2020M11;104
Reino Unido;Dato base;Gasto medio diario por persona;2020M10;95
Reino Unido;Dato base;Gasto medio diario por persona;2020M09;106
Reino Unido;Dato base;Gasto medio diario por persona;2020M08;108
Reino Unido;Dato base;Gasto medio diario por persona;2020M07;126
Reino Unido;Dato base;Gasto medio diario por persona;2020M06;141
Reino Unido;Dato base;Gasto medio diario por persona;2020M05;0
Reino Unido;Dato base;Gasto medio diario por persona;2020M04;0
Reino Unido;Dato base;Gasto medio diario por persona;2020M03;124
Reino Unido;Dato base;Gasto medio diario por persona;2020M02;133
Reino Unido;Dato base;Gasto medio diario por persona;2020M01;121
Reino Unido;Dato base;Gasto medio diario por persona;2019M12;129
Reino Unido;Dato base;Gasto medio diario por persona;2019M11;135
Reino Unido;Dato base;Gasto medio diario por persona;2019M10;132
Reino Unido;Dato base;Gasto medio diario por persona;2019M09;136
Reino Unido;Dato base;Gasto medio diario por persona;2019M08;145
Reino Unido;Dato base;Gasto medio diario por persona;2019M07;149
Reino Unido;Dato base;Gasto medio diario por persona;2019M06;136
Reino Unido;Dato base;Gasto medio diario por persona;2019M05;143
Reino Unido;Dato base;Gasto medio diario por persona;2019M04;133
Reino Unido;Dato base;Gasto medio diario por persona;2019M03;123
Reino Unido;Dato base;Gasto medio diario por persona;2019M02;125
Reino Unido;Dato base;Gasto medio diario por persona;2019M01;112
Reino Unido;Dato base;Gasto medio diario por persona;2018M12;116
Reino Unido;Dato base;Gasto medio diario por persona;2018M11;133
Reino Unido;Dato base;Gasto medio diario por persona;2018M10;128
Reino Unido;Dato base;Gasto medio diario por persona;2018M09;125
Reino Unido;Dato base;Gasto medio diario por persona;2018M08;134
Reino Unido;Dato base;Gasto medio diario por persona;2018M07;142
Reino Unido;Dato base;Gasto medio diario por persona;2018M06;129
Reino Unido;Dato base;Gasto medio diario por persona;2018M05;124
Reino Unido;Dato base;Gasto medio diario por persona;2018M04;122
Reino Unido;Dato base;Gasto medio diario por persona;2018M03;118
Reino Unido;Dato base;Gasto medio diario por persona;2018M02;116
Reino Unido;Dato base;Gasto medio diario por persona;2018M01;106
Reino Unido;Dato base;Gasto medio diario por persona;2017M12;116
Reino Unido;Dato base;Gasto medio diario por persona;2017M11;116
Reino Unido;Dato base;Gasto medio diario por persona;2017M10;119
Reino Unido;Dato base;Gasto medio diario por persona;2017M09;124
Reino Unido;Dato base;Gasto medio diario por persona;2017M08;120
Reino Unido;Dato base;Gasto medio diario por persona;2017M07;133
Reino Unido;Dato base;Gasto medio diario por persona;2017M06;123
Reino Unido;Dato base;Gasto medio diario por persona;2017M05;120
Reino Unido;Dato base;Gasto medio diario por persona;2017M04;114
Reino Unido;Dato base;Gasto medio diario por persona;2017M03;120
Reino Unido;Dato base;Gasto medio diario por persona;2017M02;113
Reino Unido;Dato base;Gasto medio diario por persona;2017M01;102
Reino Unido;Dato base;Gasto medio diario por persona;2016M12;109
Reino Unido;Dato base;Gasto medio diario por persona;2016M11;119
Reino Unido;Dato base;Gasto medio diario por persona;2016M10;116
Reino Unido;Dato base;Gasto medio diario por persona;2016M09;114
Reino Unido;Dato base;Gasto medio diario por persona;2016M08;110
Reino Unido;Dato base;Gasto medio diario por persona;2016M07;124
Reino Unido;Dato base;Gasto medio diario por persona;2016M06;114
Reino Unido;Dato base;Gasto medio diario por persona;2016M05;121
Reino Unido;Dato base;Gasto medio diario por persona;2016M04;111
Reino Unido;Dato base;Gasto medio diario por persona;2016M03;110
Reino Unido;Dato base;Gasto medio diario por persona;2016M02;104
