Comunidades  autónomas;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
Total;Gasto total;Tasa de variación acumulada;2018M11;2,75
Total;Gasto total;Tasa de variación acumulada;2018M10;2,60
Total;Gasto total;Tasa de variación acumulada;2018M09;2,35
Total;Gasto total;Tasa de variación acumulada;2018M08;2,60
Total;Gasto total;Tasa de variación acumulada;2018M07;2,96
Total;Gasto total;Tasa de variación acumulada;2018M06;4,18
Total;Gasto total;Tasa de variación acumulada;2018M05;4,15
Total;Gasto total;Tasa de variación acumulada;2018M04;4,64
Total;Gasto total;Tasa de variación acumulada;2018M03;8,11
Total;Gasto total;Tasa de variación acumulada;2018M02;5,75
Total;Gasto total;Tasa de variación acumulada;2018M01;6,13
Total;Gasto total;Tasa de variación acumulada;2017M12;12,39
Total;Gasto total;Tasa de variación acumulada;2017M11;13,15
Total;Gasto total;Tasa de variación acumulada;2017M10;13,32
Total;Gasto total;Tasa de variación acumulada;2017M09;14,17
Total;Gasto total;Tasa de variación acumulada;2017M08;14,38
Total;Gasto total;Tasa de variación acumulada;2017M07;15,36
Total;Gasto total;Tasa de variación acumulada;2017M06;15,24
Total;Gasto total;Tasa de variación acumulada;2017M05;15,33
Total;Gasto total;Tasa de variación acumulada;2017M04;15,62
Total;Gasto total;Tasa de variación acumulada;2017M03;13,33
Total;Gasto total;Tasa de variación acumulada;2017M02;15,10
Total;Gasto total;Tasa de variación acumulada;2017M01;14,07
Total;Gasto total;Tasa de variación acumulada;2016M12;9,21
Total;Gasto total;Tasa de variación acumulada;2016M11;8,61
Total;Gasto total;Tasa de variación acumulada;2016M10;8,61
Total;Gasto total;Tasa de variación acumulada;2016M09;7,71
Total;Gasto total;Tasa de variación acumulada;2016M08;7,31
Total;Gasto total;Tasa de variación acumulada;2016M07;8,10
Total;Gasto total;Tasa de variación acumulada;2016M06;8,21
Total;Gasto total;Tasa de variación acumulada;2016M05;6,84
Total;Gasto total;Tasa de variación acumulada;2016M04;6,19
Total;Gasto total;Tasa de variación acumulada;2016M03;7,14
Total;Gasto total;Tasa de variación acumulada;2016M02;5,76
Total;Gasto total;Tasa de variación acumulada;2016M01;3,62
Total;Gasto total;Tasa de variación acumulada;2015M12;""
Total;Gasto total;Tasa de variación acumulada;2015M11;""
Total;Gasto total;Tasa de variación acumulada;2015M10;""
Total;Gasto medio por persona;Dato base;2026M07;1.579
Total;Gasto medio por persona;Dato base;2026M06;1.393
Total;Gasto medio por persona;Dato base;2026M05;1.321
Total;Gasto medio por persona;Dato base;2026M04;1.291
Total;Gasto medio por persona;Dato base;2026M03;1.411
Total;Gasto medio por persona;Dato base;2026M02;1.366
Total;Gasto medio por persona;Dato base;2026M01;1.522
Total;Gasto medio por persona;Dato base;2025M12;1.515
Total;Gasto medio por persona;Dato base;2025M11;1.401
Total;Gasto medio por persona;Dato base;2025M10;1.383
Total;Gasto medio por persona;Dato base;2025M09;1.379
Total;Gasto medio por persona;Dato base;2025M08;1.456
Total;Gasto medio por persona;Dato base;2025M07;1.490
Total;Gasto medio por persona;Dato base;2025M06;1.378
Total;Gasto medio por persona;Dato base;2025M05;1.305
Total;Gasto medio por persona;Dato base;2025M04;1.264
Total;Gasto medio por persona;Dato base;2025M03;1.382
Total;Gasto medio por persona;Dato base;2025M02;1.343
Total;Gasto medio por persona;Dato base;2025M01;1.410
Total;Gasto medio por persona;Dato base;2024M12;1.442
Total;Gasto medio por persona;Dato base;2024M11;1.359
Total;Gasto medio por persona;Dato base;2024M10;1.328
Total;Gasto medio por persona;Dato base;2024M09;1.314
Total;Gasto medio por persona;Dato base;2024M08;1.406
Total;Gasto medio por persona;Dato base;2024M07;1.429
Total;Gasto medio por persona;Dato base;2024M06;1.329
Total;Gasto medio por persona;Dato base;2024M05;1.263
Total;Gasto medio por persona;Dato base;2024M04;1.219
Total;Gasto medio por persona;Dato base;2024M03;1.359
Total;Gasto medio por persona;Dato base;2024M02;1.346
Total;Gasto medio por persona;Dato base;2024M01;1.371
Total;Gasto medio por persona;Dato base;2023M12;1.361
Total;Gasto medio por persona;Dato base;2023M11;1.294
Total;Gasto medio por persona;Dato base;2023M10;1.258
Total;Gasto medio por persona;Dato base;2023M09;1.273
Total;Gasto medio por persona;Dato base;2023M08;1.335
Total;Gasto medio por persona;Dato base;2023M07;1.372
Total;Gasto medio por persona;Dato base;2023M06;1.277
Total;Gasto medio por persona;Dato base;2023M05;1.177
Total;Gasto medio por persona;Dato base;2023M04;1.170
Total;Gasto medio por persona;Dato base;2023M03;1.271
Total;Gasto medio por persona;Dato base;2023M02;1.242
Total;Gasto medio por persona;Dato base;2023M01;1.262
Total;Gasto medio por persona;Dato base;2022M12;1.269
Total;Gasto medio por persona;Dato base;2022M11;1.242
Total;Gasto medio por persona;Dato base;2022M10;1.158
Total;Gasto medio por persona;Dato base;2022M09;1.178
Total;Gasto medio por persona;Dato base;2022M08;1.275
Total;Gasto medio por persona;Dato base;2022M07;1.309
Total;Gasto medio por persona;Dato base;2022M06;1.204
Total;Gasto medio por persona;Dato base;2022M05;1.151
Total;Gasto medio por persona;Dato base;2022M04;1.132
Total;Gasto medio por persona;Dato base;2022M03;1.257
Total;Gasto medio por persona;Dato base;2022M02;1.187
Total;Gasto medio por persona;Dato base;2022M01;1.215
Total;Gasto medio por persona;Dato base;2021M12;1.200
Total;Gasto medio por persona;Dato base;2021M11;1.119
Total;Gasto medio por persona;Dato base;2021M10;1.089
Total;Gasto medio por persona;Dato base;2021M09;1.074
Total;Gasto medio por persona;Dato base;2021M08;1.137
Total;Gasto medio por persona;Dato base;2021M07;1.189
Total;Gasto medio por persona;Dato base;2021M06;1.093
Total;Gasto medio por persona;Dato base;2021M05;1.024
Total;Gasto medio por persona;Dato base;2021M04;1.062
Total;Gasto medio por persona;Dato base;2021M03;1.107
Total;Gasto medio por persona;Dato base;2021M02;1.136
Total;Gasto medio por persona;Dato base;2021M01;1.044
Total;Gasto medio por persona;Dato base;2020M12;1.074
Total;Gasto medio por persona;Dato base;2020M11;1.055
Total;Gasto medio por persona;Dato base;2020M10;847
Total;Gasto medio por persona;Dato base;2020M09;847
Total;Gasto medio por persona;Dato base;2020M08;1.007
Total;Gasto medio por persona;Dato base;2020M07;997
Total;Gasto medio por persona;Dato base;2020M06;655
Total;Gasto medio por persona;Dato base;2020M05;0
Total;Gasto medio por persona;Dato base;2020M04;0
Total;Gasto medio por persona;Dato base;2020M03;1.088
Total;Gasto medio por persona;Dato base;2020M02;1.082
Total;Gasto medio por persona;Dato base;2020M01;1.153
Total;Gasto medio por persona;Dato base;2019M12;1.164
Total;Gasto medio por persona;Dato base;2019M11;1.088
Total;Gasto medio por persona;Dato base;2019M10;1.097
Total;Gasto medio por persona;Dato base;2019M09;1.087
Total;Gasto medio por persona;Dato base;2019M08;1.157
Total;Gasto medio por persona;Dato base;2019M07;1.209
Total;Gasto medio por persona;Dato base;2019M06;1.096
Total;Gasto medio por persona;Dato base;2019M05;1.028
Total;Gasto medio por persona;Dato base;2019M04;987
Total;Gasto medio por persona;Dato base;2019M03;1.068
Total;Gasto medio por persona;Dato base;2019M02;1.063
Total;Gasto medio por persona;Dato base;2019M01;1.115
Total;Gasto medio por persona;Dato base;2018M12;1.150
Total;Gasto medio por persona;Dato base;2018M11;1.078
Total;Gasto medio por persona;Dato base;2018M10;1.067
Total;Gasto medio por persona;Dato base;2018M09;1.069
Total;Gasto medio por persona;Dato base;2018M08;1.126
Total;Gasto medio por persona;Dato base;2018M07;1.172
Total;Gasto medio por persona;Dato base;2018M06;1.095
Total;Gasto medio por persona;Dato base;2018M05;1.009
Total;Gasto medio por persona;Dato base;2018M04;977
Total;Gasto medio por persona;Dato base;2018M03;1.062
Total;Gasto medio por persona;Dato base;2018M02;1.075
Total;Gasto medio por persona;Dato base;2018M01;1.102
Total;Gasto medio por persona;Dato base;2017M12;1.138
Total;Gasto medio por persona;Dato base;2017M11;1.057
Total;Gasto medio por persona;Dato base;2017M10;1.071
Total;Gasto medio por persona;Dato base;2017M09;1.067
Total;Gasto medio por persona;Dato base;2017M08;1.091
Total;Gasto medio por persona;Dato base;2017M07;1.129
Total;Gasto medio por persona;Dato base;2017M06;1.066
Total;Gasto medio por persona;Dato base;2017M05;991
Total;Gasto medio por persona;Dato base;2017M04;958
Total;Gasto medio por persona;Dato base;2017M03;1.040
Total;Gasto medio por persona;Dato base;2017M02;1.045
Total;Gasto medio por persona;Dato base;2017M01;1.091
Total;Gasto medio por persona;Dato base;2016M12;1.134
Total;Gasto medio por persona;Dato base;2016M11;1.026
Total;Gasto medio por persona;Dato base;2016M10;1.027
Total;Gasto medio por persona;Dato base;2016M09;1.059
Total;Gasto medio por persona;Dato base;2016M08;1.025
Total;Gasto medio por persona;Dato base;2016M07;1.073
Total;Gasto medio por persona;Dato base;2016M06;1.035
Total;Gasto medio por persona;Dato base;2016M05;973
Total;Gasto medio por persona;Dato base;2016M04;925
Total;Gasto medio por persona;Dato base;2016M03;999
Total;Gasto medio por persona;Dato base;2016M02;1.007
Total;Gasto medio por persona;Dato base;2016M01;1.060
Total;Gasto medio por persona;Dato base;2015M12;1.074
Total;Gasto medio por persona;Dato base;2015M11;1.031
Total;Gasto medio por persona;Dato base;2015M10;976
Total;Gasto medio por persona;Tasa de variación anual;2026M07;5,94
Total;Gasto medio por persona;Tasa de variación anual;2026M06;1,13
Total;Gasto medio por persona;Tasa de variación anual;2026M05;1,25
Total;Gasto medio por persona;Tasa de variación anual;2026M04;2,10
Total;Gasto medio por persona;Tasa de variación anual;2026M03;2,09
Total;Gasto medio por persona;Tasa de variación anual;2026M02;1,72
Total;Gasto medio por persona;Tasa de variación anual;2026M01;7,98
Total;Gasto medio por persona;Tasa de variación anual;2025M12;5,05
Total;Gasto medio por persona;Tasa de variación anual;2025M11;3,03
Total;Gasto medio por persona;Tasa de variación anual;2025M10;4,20
Total;Gasto medio por persona;Tasa de variación anual;2025M09;5,01
Total;Gasto medio por persona;Tasa de variación anual;2025M08;3,54
Total;Gasto medio por persona;Tasa de variación anual;2025M07;4,25
Total;Gasto medio por persona;Tasa de variación anual;2025M06;3,68
Total;Gasto medio por persona;Tasa de variación anual;2025M05;3,33
Total;Gasto medio por persona;Tasa de variación anual;2025M04;3,70
Total;Gasto medio por persona;Tasa de variación anual;2025M03;1,66
Total;Gasto medio por persona;Tasa de variación anual;2025M02;-0,21
Total;Gasto medio por persona;Tasa de variación anual;2025M01;2,84
Total;Gasto medio por persona;Tasa de variación anual;2024M12;5,93
Total;Gasto medio por persona;Tasa de variación anual;2024M11;5,06
Total;Gasto medio por persona;Tasa de variación anual;2024M10;5,51
Total;Gasto medio por persona;Tasa de variación anual;2024M09;3,22
Total;Gasto medio por persona;Tasa de variación anual;2024M08;5,29
Total;Gasto medio por persona;Tasa de variación anual;2024M07;4,19
Total;Gasto medio por persona;Tasa de variación anual;2024M06;4,06
Total;Gasto medio por persona;Tasa de variación anual;2024M05;7,30
Total;Gasto medio por persona;Tasa de variación anual;2024M04;4,21
Total;Gasto medio por persona;Tasa de variación anual;2024M03;6,96
Total;Gasto medio por persona;Tasa de variación anual;2024M02;8,39
Total;Gasto medio por persona;Tasa de variación anual;2024M01;8,65
Total;Gasto medio por persona;Tasa de variación anual;2023M12;7,24
Total;Gasto medio por persona;Tasa de variación anual;2023M11;4,21
Total;Gasto medio por persona;Tasa de variación anual;2023M10;8,66
Total;Gasto medio por persona;Tasa de variación anual;2023M09;8,06
Total;Gasto medio por persona;Tasa de variación anual;2023M08;4,71
Total;Gasto medio por persona;Tasa de variación anual;2023M07;4,80
Total;Gasto medio por persona;Tasa de variación anual;2023M06;6,08
Total;Gasto medio por persona;Tasa de variación anual;2023M05;2,19
Total;Gasto medio por persona;Tasa de variación anual;2023M04;3,36
Total;Gasto medio por persona;Tasa de variación anual;2023M03;1,10
Total;Gasto medio por persona;Tasa de variación anual;2023M02;4,57
Total;Gasto medio por persona;Tasa de variación anual;2023M01;3,82
Total;Gasto medio por persona;Tasa de variación anual;2022M12;5,79
Total;Gasto medio por persona;Tasa de variación anual;2022M11;10,97
Total;Gasto medio por persona;Tasa de variación anual;2022M10;6,35
Total;Gasto medio por persona;Tasa de variación anual;2022M09;9,68
Total;Gasto medio por persona;Tasa de variación anual;2022M08;12,16
Total;Gasto medio por persona;Tasa de variación anual;2022M07;10,13
Total;Gasto medio por persona;Tasa de variación anual;2022M06;10,17
Total;Gasto medio por persona;Tasa de variación anual;2022M05;12,46
Total;Gasto medio por persona;Tasa de variación anual;2022M04;6,52
Total;Gasto medio por persona;Tasa de variación anual;2022M03;13,57
Total;Gasto medio por persona;Tasa de variación anual;2022M02;4,49
Total;Gasto medio por persona;Tasa de variación anual;2022M01;16,35
Total;Gasto medio por persona;Tasa de variación anual;2021M12;11,75
Total;Gasto medio por persona;Tasa de variación anual;2021M11;6,04
Total;Gasto medio por persona;Tasa de variación anual;2021M10;28,57
Total;Gasto medio por persona;Tasa de variación anual;2021M09;26,80
Total;Gasto medio por persona;Tasa de variación anual;2021M08;12,94
Total;Gasto medio por persona;Tasa de variación anual;2021M07;19,21
Total;Gasto medio por persona;Tasa de variación anual;2021M06;66,70
Total;Gasto medio por persona;Tasa de variación anual;2021M05;..
Total;Gasto medio por persona;Tasa de variación anual;2021M04;..
Total;Gasto medio por persona;Tasa de variación anual;2021M03;1,69
Total;Gasto medio por persona;Tasa de variación anual;2021M02;5,04
Total;Gasto medio por persona;Tasa de variación anual;2021M01;-9,45
Total;Gasto medio por persona;Tasa de variación anual;2020M12;-7,76
Total;Gasto medio por persona;Tasa de variación anual;2020M11;-2,99
Total;Gasto medio por persona;Tasa de variación anual;2020M10;-22,79
Total;Gasto medio por persona;Tasa de variación anual;2020M09;-22,11
Total;Gasto medio por persona;Tasa de variación anual;2020M08;-12,99
Total;Gasto medio por persona;Tasa de variación anual;2020M07;-17,55
Total;Gasto medio por persona;Tasa de variación anual;2020M06;-40,22
Total;Gasto medio por persona;Tasa de variación anual;2020M05;-100,00
Total;Gasto medio por persona;Tasa de variación anual;2020M04;-100,00
Total;Gasto medio por persona;Tasa de variación anual;2020M03;1,89
Total;Gasto medio por persona;Tasa de variación anual;2020M02;1,72
Total;Gasto medio por persona;Tasa de variación anual;2020M01;3,44
Total;Gasto medio por persona;Tasa de variación anual;2019M12;1,19
Total;Gasto medio por persona;Tasa de variación anual;2019M11;0,93
Total;Gasto medio por persona;Tasa de variación anual;2019M10;2,77
Total;Gasto medio por persona;Tasa de variación anual;2019M09;1,74
Total;Gasto medio por persona;Tasa de variación anual;2019M08;2,72
Total;Gasto medio por persona;Tasa de variación anual;2019M07;3,16
Total;Gasto medio por persona;Tasa de variación anual;2019M06;0,09
Total;Gasto medio por persona;Tasa de variación anual;2019M05;1,89
Total;Gasto medio por persona;Tasa de variación anual;2019M04;1,11
Total;Gasto medio por persona;Tasa de variación anual;2019M03;0,60
Total;Gasto medio por persona;Tasa de variación anual;2019M02;-1,10
Total;Gasto medio por persona;Tasa de variación anual;2019M01;1,21
Total;Gasto medio por persona;Tasa de variación anual;2018M12;1,12
Total;Gasto medio por persona;Tasa de variación anual;2018M11;1,95
Total;Gasto medio por persona;Tasa de variación anual;2018M10;-0,39
Total;Gasto medio por persona;Tasa de variación anual;2018M09;0,11
Total;Gasto medio por persona;Tasa de variación anual;2018M08;3,26
Total;Gasto medio por persona;Tasa de variación anual;2018M07;3,81
Total;Gasto medio por persona;Tasa de variación anual;2018M06;2,77
Total;Gasto medio por persona;Tasa de variación anual;2018M05;1,82
Total;Gasto medio por persona;Tasa de variación anual;2018M04;1,97
Total;Gasto medio por persona;Tasa de variación anual;2018M03;2,12
Total;Gasto medio por persona;Tasa de variación anual;2018M02;2,90
Total;Gasto medio por persona;Tasa de variación anual;2018M01;0,94
Total;Gasto medio por persona;Tasa de variación anual;2017M12;0,31
Total;Gasto medio por persona;Tasa de variación anual;2017M11;3,00
Total;Gasto medio por persona;Tasa de variación anual;2017M10;4,28
Total;Gasto medio por persona;Tasa de variación anual;2017M09;0,82
Total;Gasto medio por persona;Tasa de variación anual;2017M08;6,37
